id,layer,domain,valid,consensus,subject_modals,norm,preference,D,C,A
32,habitus,resource,True,0,DDBBBDD,0,0,0.45582139374744657,0.3976179665319702,0.28167948550078614
33,habitus,resource,False,0,BBNRABBA,0,0,0.49598735988388726,0.4691190286229272,0.31256312410604026
34,habitus,resource,True,0,AACCAAC,0,0,0.4441620154487934,0.40067739941007546,0.28068223709805984
35,habitus,resource,True,1,CCCCCCC,0,0,0.4553566290088188,0.42874225837464186,0.28193997390981496
36,habitus,resource,False,0,BBNRBCCB,0,0,0.540130765667184,0.474762417331413,0.2871421987527723
37,habitus,resource,False,0,NRDBDDNRD,0,0,0.4751531169184792,0.3924576732389644,0.26917685180813344
38,habitus,resource,False,0,DNRANRBDC,0,0,0.43525014257033146,0.3677702942790191,0.25236642021211314
39,habitus,resource,False,0,CDDCCNRNR,0,0,0.48584019515908566,0.44267532648764585,0.29475039474396947
40,habitus,resource,True,0,CCDCDCC,0,0,0.4550808303330044,0.40831795942883076,0.2689642003540283
41,habitus,resource,False,0,NRCCCCAC,0,0,0.4742979461887581,0.4211840930962342,0.2877970406289672
42,habitus,resource,True,0,AAAABAA,0,0,0.396047972468319,0.36646262315921285,0.27060333164015643
43,habitus,resource,True,0,BBBBBBC,0,0,0.4281925632905187,0.39976555271714487,0.2793487180222779
44,habitus,build_search,True,0,ACBCCCA,0,0,0.5451445677480089,0.5311880585365798,0.31602248460364707
45,habitus,build_search,True,1,AAAAAAA,0,0,0.6217889179444059,0.6145139659205496,0.41400908978956963
46,habitus,build_search,False,0,DCCANRDD,0,0,0.36575133888608635,0.30429374922707264,0.2489428881861587
47,habitus,build_search,True,0,DDDCCCD,0,0,0.4870020444671688,0.44665734883929087,0.31587991755842404
48,habitus,build_search,True,0,DAADDAD,0,0,0.5612524915562076,0.5274829434847771,0.3671353342171346
49,habitus,build_search,True,1,DDDDDDD,0,0,0.46265563449736985,0.45313206632707076,0.30336551218759167
50,habitus,build_search,True,0,ABCCCCC,0,0,0.4484085405157173,0.4081412075552807,0.2709896890846582
51,habitus,build_search,True,1,CCCCCCC,0,0,0.6107084466701219,0.5920588741538892,0.41352810515223626
52,habitus,build_search,False,0,NRDDDDDD,0,0,0.4709841711126369,0.4542135440323024,0.3113333361856768
53,habitus,build_search,True,1,CCCCCCC,0,0,0.6503680716052646,0.638726984234415,0.44786321091638426
54,habitus,build_search,True,1,BBBBBBB,0,0,0.6596681852278996,0.6415717923470301,0.44749925080472863
55,habitus,build_search,False,0,NRCNRCCCC,0,0,0.4253088091398631,0.4006014634773819,0.2623972497134256
56,habitus,reversibility,True,1,AAAAAAA,0,0,0.41448267229058977,0.38119111620717205,0.2769988312176167
57,habitus,reversibility,False,0,DBNRNRBAB,0,0,0.4407605592955154,0.41279775849301387,0.28119750000954796
58,habitus,reversibility,False,0,BBNRAAAB,0,0,0.44786760737116005,0.41172493990312714,0.2823324716943126
59,habitus,reversibility,False,0,BBNRBBBB,0,0,0.46157884958891743,0.421521467285098,0.29819720061137084
60,habitus,reversibility,True,0,ADADABA,0,0,0.4446837924644346,0.43674972070076234,0.25630865216774473
61,habitus,reversibility,True,0,BBCCBBC,0,0,0.4128380344417749,0.370846750839381,0.2639546721989613
62,habitus,reversibility,True,0,ADADDBA,0,0,0.4176332252287212,0.33762566659832205,0.25873233474471585
63,habitus,reversibility,True,1,BBBBBBB,0,0,0.40980699711133894,0.3703319385875929,0.272797383506821
64,habitus,reversibility,True,1,BBBBBBB,0,0,0.49826225009588676,0.43398752942601726,0.2688355272328345
65,habitus,reversibility,True,0,DCCCCCC,0,0,0.48140229466424456,0.4219347203800684,0.29417524550551155
66,habitus,reversibility,False,0,BBNRBBBA,0,0,0.43557905697653043,0.4008323787559104,0.26221072247425187
67,habitus,reversibility,False,0,NRANRCNRDD,0,0,0.4260069766875458,0.34327960528350226,0.2581068450669945
68,habitus,verification,True,0,ACACAAA,0,0,0.5302716033956739,0.5001552313244298,0.3294034168182395
69,habitus,verification,False,0,ANRADDAD,0,0,0.5755019833938574,0.5342286895630296,0.37082808556692887
70,habitus,verification,False,0,DDNRDDDD,0,0,0.4174379105211653,0.3770039726255905,0.26150569915978183
71,habitus,verification,True,0,CAAAAAA,0,0,0.5565430051766148,0.5478170248194927,0.37270521816968516
72,habitus,verification,True,0,CCCACCC,0,0,0.49744247084014226,0.4543378692444378,0.3034014697562564
73,habitus,verification,False,0,NRAADAAA,0,0,0.5487461985644666,0.5126200647617868,0.3524548622213078
74,habitus,verification,False,0,ANRBABBA,0,0,0.4983120237784352,0.43531747766184736,0.29323445565675926
75,habitus,verification,True,1,CCCCCCC,0,0,0.4611010484639758,0.3783562879163206,0.2757079073540093
76,habitus,verification,True,0,BDBDBBB,0,0,0.5664900899490845,0.5603338752294279,0.36580160512640486
77,habitus,verification,True,0,DBBCCAA,0,0,0.5525352482989284,0.5369446176040471,0.2570309442446182
78,habitus,verification,True,1,AAAAAAA,0,0,0.5621932492994401,0.5330784279067812,0.3617883267389245
79,habitus,verification,True,0,DDADAAA,0,0,0.4941502244080097,0.4875932126877623,0.34824753978455786
80,habitus,delegation,False,0,BNRBCBBC,0,0,0.3856841939270329,0.34647602608111316,0.252525750967546
81,habitus,delegation,False,0,DDACNRAC,0,0,0.4220842516906373,0.39566395641780694,0.27330240896679403
82,habitus,delegation,True,0,DCCDDDD,0,0,0.4718516795934017,0.4377795117637465,0.2878008781985614
83,habitus,delegation,True,0,DDDDDDC,0,0,0.5408890046001628,0.5062355892450802,0.3612940312358705
84,habitus,delegation,True,1,BBBBBBB,0,0,0.6082165671544483,0.5793847514787482,0.3965552573834824
85,habitus,delegation,True,1,AAAAAAA,0,0,0.45927821887544595,0.43201112388505736,0.29006349542491167
86,habitus,delegation,False,0,BDNRNRDDD,0,0,0.3858954169531581,0.33886717422536916,0.25962360813811813
87,habitus,delegation,True,1,DDDDDDD,0,0,0.47140888312468154,0.4360970301711015,0.29952586512260376
88,habitus,delegation,False,0,BDDNRDBD,0,0,0.44628703220654786,0.4188122661515397,0.2831785463724687
89,habitus,delegation,True,0,ABBBABB,0,0,0.5332674986451748,0.5176461678761063,0.34803138734527084
90,habitus,delegation,True,0,BBBCBBB,0,0,0.4388371954278661,0.38647313199989075,0.26299178580996335
91,habitus,delegation,True,0,DCDCDDD,0,0,0.43667780890339963,0.37312189718789,0.27662518080224274
92,habitus,risk_time,False,0,CCANRCCC,0,0,0.4146001878760782,0.3644796908490445,0.2597077499170294
93,habitus,risk_time,True,0,BCCCCCC,0,0,0.4002436171769702,0.3466243105583352,0.24972398204644802
94,habitus,risk_time,False,0,NRDDCDCD,0,0,0.4072496150797306,0.3590642755565422,0.25799264971858193
95,habitus,risk_time,True,0,BBBBDBB,0,0,0.4149047167949485,0.3680455664927895,0.2605065258627447
96,habitus,risk_time,True,1,CCCCCCC,0,0,0.4228783883199997,0.4007303067286877,0.28100399803402004
97,habitus,risk_time,False,0,CCACCBNR,0,0,0.4093557322068332,0.372208222730204,0.2588805595631218
98,habitus,risk_time,True,1,DDDDDDD,0,0,0.7157081008147161,0.7157081008147161,0.5354031494370316
99,habitus,risk_time,False,0,DDDDDNRD,0,0,0.45606569751009196,0.42274478140250016,0.2918536829794914
100,habitus,risk_time,True,1,CCCCCCC,0,0,0.5029824766201949,0.4928351188966177,0.32705098171689434
101,habitus,risk_time,True,1,BBBBBBB,0,0,0.47958859919685215,0.4761823586028921,0.31397667249869987
102,habitus,risk_time,False,0,DCCCCNRC,0,0,0.4413540265773551,0.39591459424519326,0.27917649409872686
103,habitus,risk_time,True,0,CDCDCDC,0,0,0.5691675507376669,0.529208830340636,0.3717226731282145
104,habitus,candor,True,0,BCCCCDC,0,0,0.42521915250221465,0.3906268929287373,0.2569388626325528
105,habitus,candor,True,0,CBCBCCB,0,0,0.44593276909383145,0.4105424791355505,0.28326286604206474
106,habitus,candor,True,1,BBBBBBB,0,0,0.5730916940999597,0.560421256770397,0.3759852856063582
107,habitus,candor,True,0,DADDDDD,0,0,0.4785616924787762,0.4417912488902146,0.33685474928755366
108,habitus,candor,False,0,CBCBCNRC,0,0,0.44708218615973117,0.4146403571725836,0.28469201293445606
109,habitus,candor,True,0,CBCCCCC,0,0,0.43751855937796097,0.3797889967010982,0.2748819272546358
110,habitus,candor,True,1,AAAAAAA,0,0,0.43634927784368693,0.4189540967564989,0.27979294087711437
111,habitus,candor,True,0,BBCDDAC,0,0,0.5205750141206595,0.49789613647080966,0.3335401073398564
112,habitus,candor,True,1,DDDDDDD,0,0,0.4358310773893891,0.4204794783122366,0.28966038637483765
113,habitus,candor,True,0,ADADAAD,0,0,0.5345103988393815,0.502261964930057,0.32944669123326503
114,habitus,candor,True,0,BBABBBB,0,0,0.5672615847807709,0.5409648070616189,0.35724933135069353
115,habitus,candor,True,0,BBBBCCB,0,0,0.5583263714373519,0.5149991260157452,0.3700446208855479
116,habitus,candor,True,1,DDDDDDD,0,0,0.7024051343904225,0.7015991764226609,0.518729288369726
117,habitus,rules,True,1,CCCCCCC,0,0,0.484100409412887,0.45238537832446657,0.29874169416810825
118,habitus,rules,True,0,BBADABA,0,0,0.39700849438767627,0.3786928724301124,0.2683874707846482
119,habitus,rules,True,0,CCABCCC,0,0,0.39714693426711367,0.3414908235202089,0.25321078210915854
120,habitus,rules,True,1,CCCCCCC,0,0,0.42494823800425985,0.38315247885360926,0.27389325684265303
121,habitus,rules,False,0,NRCBDDDD,0,0,0.4139415301086286,0.3406966750726679,0.2705285190565726
122,habitus,rules,False,0,DDNRDDDNR,0,0,0.5197892524145331,0.4892307945050158,0.3175124365652523
123,habitus,rules,True,0,DBBCCCD,0,0,0.6023279945492259,0.5787802323217084,0.3990563681568799
124,habitus,rules,True,0,BDDBBBD,0,0,0.4385162564558976,0.39281144677175117,0.29221530439444904
125,habitus,rules,True,1,CCCCCCC,0,0,0.7561965469414319,0.7529922125761067,0.5844273892310323
126,habitus,rules,True,0,AAACACC,0,0,0.494680940990221,0.4624570393504862,0.3001954521774159
127,habitus,rules,False,0,CCCCCNRC,0,0,0.5447281463461774,0.5180651342057823,0.34877519829246906
128,habitus,rules,True,1,CCCCCCC,0,0,0.48222439915651816,0.4218618741010357,0.2917704900956839
201,norm,business,True,1,AAAAAAA,1,0,0.7509954515659218,0.7488155172204151,0.5795649263981401
202,norm,engineering,True,1,CCCCCCC,1,0,0.5149305095873485,0.5019498875461724,0.3321502766656681
203,norm,research,True,0,BCBBBBB,1,0,0.4189564054629411,0.377055888746264,0.26627102137964215
204,norm,life,True,1,DDDDDDD,1,0,0.7195814095464736,0.7195814095464736,0.5361008836135792
205,norm,business,True,1,AAAAAAA,1,0,0.8079709012556533,0.8079709012556533,0.6623285309273979
206,norm,engineering,True,1,BBBBBBB,1,0,0.6960283436102737,0.6929941608570533,0.5042860486478246
207,norm,research,True,1,DDDDDDD,1,0,0.5110351156405779,0.47017764729510725,0.2280221322745108
208,norm,life,True,1,CCCCCCC,1,0,0.6799784950428782,0.6440328921337175,0.44558579447474
209,norm,business,True,0,BABBBBA,1,0,0.514923844799607,0.4851960333171741,0.3373966301995035
210,norm,engineering,True,0,BBBABBB,1,0,0.5464130479998207,0.5259194448786647,0.3690873159659459
211,norm,research,True,1,CCCCCCC,1,0,0.5200429559640545,0.49402591893724485,0.3291766840832606
212,norm,life,True,1,DDDDDDD,1,0,0.7425089506517419,0.7425089506517419,0.5687516182265847
213,norm,business,True,1,AAAAAAA,1,0,0.7174778702425779,0.7004957834092616,0.5190741344917194
214,norm,engineering,True,1,BBBBBBB,1,0,0.637342382064662,0.637342382064662,0.44561123437866074
215,norm,research,True,1,CCCCCCC,1,0,0.7697883857712331,0.7697883857712331,0.6051279297113875
216,norm,life,True,1,DDDDDDD,1,0,0.6092747489940807,0.5912551986062631,0.4001047877768686
217,norm,business,True,1,BBBBBBB,1,0,0.8188862497079622,0.8188862497079622,0.6824667813887143
218,norm,engineering,False,0,AAAAANRA,1,0,0.4378861182113184,0.3986359149974975,0.27541786455094946
219,norm,research,True,0,DCDDDDD,1,0,0.4610243321555639,0.413763213783124,0.27109807284998394
220,norm,life,True,1,CCCCCCC,1,0,0.38028037305102363,0.3491762526898682,0.2607949936812261
221,norm,business,True,1,BBBBBBB,1,0,0.5372648529233158,0.5032539681579878,0.31500077170755847
222,norm,engineering,False,0,AAAANRAA,1,0,0.7754167193700179,0.7754167193700179,0.6164269254540036
223,norm,research,True,1,CCCCCCC,1,0,0.6498952467762878,0.6449022791250922,0.4574073659629058
224,norm,life,True,1,DDDDDDD,1,0,0.6868108296485472,0.6661084547117103,0.47413550404363114
225,norm,business,True,1,AAAAAAA,1,0,0.7465319211214645,0.7465319211214645,0.5784329804560309
226,norm,engineering,True,1,BBBBBBB,1,0,0.7759002238573045,0.7712678483587873,0.6063060047839884
227,norm,research,True,1,DDDDDDD,1,0,0.49992512009024576,0.4553324957620742,0.28090834749384985
228,norm,life,True,1,CCCCCCC,1,0,0.7279862183209126,0.7279862183209126,0.5484578295181425
229,norm,business,True,1,BBBBBBB,1,0,0.7701245334712438,0.7701245334712438,0.6129845976246028
230,norm,life,True,1,DDDDDDD,1,0,0.818524549722748,0.818524549722748,0.680132097690454
301,preference,workstyle,True,1,AAAAAAA,0,1,0.462544267959052,0.4246168198306485,0.3076968215689409
302,preference,workstyle,True,0,AAAACCC,0,1,0.453784731733981,0.4200316246951343,0.2818702428301841
303,preference,coding,True,0,CBACCAA,0,1,0.457459084365051,0.4093882216243978,0.2832293867372348
304,preference,travel,True,0,CCBCCBD,0,1,0.4186700244653849,0.36562616133939774,0.2523568102903928
305,preference,writing,True,1,CCCCCCC,0,1,0.4446230940176997,0.4017383856155048,0.27323177373477836
306,preference,workstyle,True,0,BBABBBB,0,1,0.5200676542817156,0.4848079100100537,0.32127909849350567
307,preference,learning,True,1,BBBBBBB,0,1,0.6574725084420686,0.6455557493974249,0.45236334256891747
308,preference,coding,False,0,NRCACCCC,0,1,0.4510850856552767,0.4172932462558279,0.25228636824576556
309,preference,food,True,0,AAAAAAD,0,1,0.5344849479821694,0.5122480829716914,0.3027742398994898
310,preference,workstyle,True,0,BBCBBBB,0,1,0.4400570072972102,0.4135695190334168,0.24977351436655182
311,preference,reading,False,0,CNRBBNRBNR,0,1,0.443746529288497,0.39997935046476474,0.24483439060478823
312,preference,communication,True,1,CCCCCCC,0,1,0.5359998122299302,0.5098242697651253,0.3453989468980304
313,preference,coding,False,0,ABNRBAAA,0,1,0.46084747938111564,0.4132449566975941,0.26457074699298255
314,preference,environment,True,0,DDDDDAD,0,1,0.5511534810692427,0.5243649429977982,0.34404064227975456
315,preference,planning,True,0,BCBBBBB,0,1,0.47792932051897485,0.4417137032045252,0.3009305794834575
316,preference,presentation,False,0,AAANRDAA,0,1,0.4139617520464848,0.3462258384353314,0.2605822673756911
317,preference,coding,False,0,BBBNRBBB,0,1,0.4383203954498355,0.4047503867686599,0.26484344562124745
318,preference,social,False,0,CCNRNRCBNR,0,1,0.4370882397289752,0.4062475887448416,0.27535218473055917
319,preference,workstyle,False,0,ACAANRAD,0,1,0.5134297354349038,0.49768050666710256,0.31126639994354177
320,preference,learning,False,0,NRAAAAAA,0,1,0.4771250200786861,0.4207153366662347,0.3163381000618565
321,preference,travel,True,0,BBBBBBA,0,1,0.47400169191658037,0.4079500253119376,0.2761487207990949
322,preference,coding,True,1,DDDDDDD,0,1,0.45785738529726416,0.4184029291877754,0.29308924347224086
323,preference,communication,True,1,CCCCCCC,0,1,0.41666229941568717,0.35698758373486406,0.24408838178651523
324,preference,planning,True,0,CAACAAA,0,1,0.705249126995597,0.6498866159124391,0.4632317758970176
325,preference,environment,True,1,CCCCCCC,0,1,0.4783089630525127,0.4229180298197103,0.2731594684096299
326,preference,writing,True,1,BBBBBBB,0,1,0.41108050443699656,0.3712390398531984,0.2481279130018656
327,preference,workstyle,False,0,CCBBCNRC,0,1,0.4170021806209528,0.3883461231617901,0.26117636029317914
328,preference,coding,False,0,BCCCNRCNR,0,1,0.4371372305861211,0.3979149501717455,0.2594247072218133
329,preference,social,True,1,DDDDDDD,0,1,0.5163162702769458,0.47411815212597713,0.3058410821403639
330,preference,planning,True,0,AAAACAA,0,1,0.625186942770726,0.5886432609642875,0.40038817026019197
